,price_try,make,series,model,year,km,transmission,fuel,body_type,warranty,from_,wheel_drive,cylinder_number,torque_nm,engine_capacity_cc,engine_power_hp,max_power_rpm,min_power_rpm,acceleration_0to100_sec,max_speed_kmh,average_fuel_consumption_lt,painted_changed
232,999000,Volkswagen,Jetta,1.4 TSi BlueMotion Comfortline,2015,113000,Yarı Otomatik,Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,200,1395,125,5000,1400,"9,6",206,5,Tamamı orjinal
233,1290000,Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY AMG Sport,2014,161000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1461,109,4600,2800,"10,6",190,"4,4",Tamamı orjinal
234,413000,Mercedes - Benz,E,200,1995,390000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Arkadan İtiş,4,,1997,136,,,,,,"2 değişen, 11 boyalı"
235,552000,Volkswagen,Polo,1.4 TDi Trendline,2015,238000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,3,210,1422,75,3750,1500,"12,9",173,"3,6",Tamamı orjinal
236,749000,Ford,Focus,1.6 TDCi Style,2013,154300,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,270,1560,115,3600,2500,"10,9",193,"4,2",2 boyalı
237,950000,Mercedes - Benz,C,C 180 Kompressor BlueEfficiency Luxury,2009,216600,Otomatik,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Arkadan İtiş,4,230,1597,156,5200,4600,"9,5",230,"6,5",Tamamı orjinal
238,800000,Mercedes - Benz,CLK,CLK 200 Kompressor Avantgarde,2004,261000,Otomatik,Benzin,-,Garantisi Yok,Galeriden,Arkadan İtiş,4,240,1796,163,,,"10,3",223,"8,9","1 değişen, 4 boyalı"
239,1239900,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2017,98000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Var,Galeriden,Önden Çekiş,4,250,1598,115,4000,1500,"10,5",198,"4,2",Tamamı orjinal
240,979900,Audi,A3,A3 Sedan 1.6 TDI Attraction,2014,169000,Yarı Otomatik,Dizel,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,250,1598,105,3000,1500,"10,9",198,"3,9",Belirtilmemiş
241,1169900,Audi,A4,A4 Sedan 2.0 TDI,2013,228000,Yarı Otomatik,Dizel,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,320,1968,151 - 175 HP,4200,2500,"9,4",210,"5,8",Belirtilmemiş
242,1285000,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2017,100000,Yarı Otomatik,Dizel,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,250,1598,120,4000,1750,"10,8",206,4,3 boyalı
243,1350000,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2015,169000,Yarı Otomatik,Dizel,Sedan,-,Sahibinden,Önden Çekiş,4,250,1598,120,4000,1750,"10,8",206,4,3 boyalı
244,152750,Tofaş,Şahin,Şahin 5 Vites,1992,80000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Arkadan İtiş,4,122,1581,80,5500,3250,,,,"2 değişen, 9 boyalı"
245,275000,Fiat,Palio,1.2 EL,2003,265000,Düz,LPG & Benzin,Hatchback/3,-,Sahibinden,Önden Çekiş,4,104,1242,81,5000,4000,"13,2",166,"7,2",Tamamı boyalı
246,1220000,Volkswagen,Jetta,1.4 TSi BlueMotion Comfortline,2015,37000,Yarı Otomatik,Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,200,1395,125,5000,1400,"9,6",206,5,Tamamı orjinal
247,410000,Renault,Symbol,1.5 dCi Authentique,2007,99000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,160,1461,65,3750,1900,"16,5",160,"4,5",4 boyalı
248,630000,Audi,A3,A3 Sportback 1.4 TFSI Attraction,2009,185000,Düz,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,200,1390,125,5000,1500,"9,6",203,6,Belirtilmemiş
249,793000,Fiat,Egea,1.3 Multijet Easy,2021,39000,Düz,Dizel,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,200,1248,95,3750,1500,"12,8",184,"4,1",Tamamı orjinal
250,717000,Peugeot,301,1.5 BlueHDI Active,2020,120000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1499,102,3500,1750,"10,1",190,"3,9",Tamamı orjinal
251,710000,Volkswagen,Jetta,1.6 TDi Trendline,2014,263000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1598,105,4400,2500,"11,7",190,"4,7","1 değişen, 4 boyalı"
252,899750,Toyota,Corolla,1.4 D-4D Touch,2018,125403,Yarı Otomatik,Dizel,Sedan,Garantisi Var,Yetkili Bayiden,Önden Çekiş,4,205,1364,90,3800,1800,"14,7",180,"4,1",2 boyalı
253,574900,Opel,Corsa,1.2 Twinport Essentia,2013,78000,Düz,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,115,1229,85,5600,4000,"13,6",172,"5,3",Belirtilmemiş
254,150000,Fiat,Uno,70 S,2000,180000,Düz,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,90,1372,71,5750,3500,,,,3 değişen
255,190000,Tofaş,Şahin,S,1998,150000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Arkadan İtiş,4,122,1581,80,5500,3250,,,,Belirtilmemiş
256,758000,Peugeot,308,1.6 THP Feeline,2010,103000,Otomatik,Benzin,Cabrio,Garantisi Yok,Galeriden,Önden Çekiş,4,240,1598,142,6000,1400,"11,6",205,"8,1",Belirtilmemiş
257,724000,Volkswagen,Golf,1.2 TSi Comfortline,2015,232000,Yarı Otomatik,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,175,1197,110,4600,1400,"9,9",195,"4,9",Belirtilmemiş
258,575000,Hyundai,Accent Era,1.6 Team,2011,119000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,146,1599,112,6000,4500,"10,2",190,"6,5",Belirtilmemiş
259,533000,Skoda,SuperB,1.9 TDI Elegance,2007,315000,Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,285,1896,131,4000,1750,"10,4",205,"5,7",Belirtilmemiş
