,price_try,make,series,model,year,km,transmission,fuel,body_type,warranty,from_,wheel_drive,cylinder_number,torque_nm,engine_capacity_cc,engine_power_hp,max_power_rpm,min_power_rpm,acceleration_0to100_sec,max_speed_kmh,average_fuel_consumption_lt,painted_changed
303,1590000,BMW,4 Serisi,418i Gran Coupe Prestige,2016,110000,Otomatik,Benzin,Coupe,Garantisi Var,Galeriden,Arkadan İtiş,3,220,1499,136,4400,1250,"9,6",210,"5,2",Belirtilmemiş
304,440000,Renault,Symbol,1.5 dCi Authentique,2011,227000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,160,1461,85,3750,1900,"16,5",160,"4,5",Belirtilmemiş
305,669000,Hyundai,i20,1.4 CVVT Jump,2012,71000,Otomatik,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,138,1396,100,5500,4200,"12,9",170,6,1 boyalı
306,1072000,Peugeot,308,1.2 PureTech Allure Sport,2020,43950,Otomatik,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,3,230,1199,132,5500,1750,"9,4",204,"4,2",Tamamı orjinal
307,473000,Opel,Corsa,1.3 CDTI Essentia,2011,151500,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,,,1201 - 1400 cm3,76 - 100 HP,,,,,,8 boyalı
308,719900,Renault,Clio,1.5 dCi Touch,2015,125000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,220,1461,90,4000,1750,"12,9",176,"3,7",2 boyalı
309,675000,Seat,Toledo,1.6 TDI Style,2015,190000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,230,1598,90,4200,1500,"12,2",184,"4,5",Tamamı orjinal
310,789000,Renault,Clio,1.5 dCi Touch,2018,86000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,220,1461,90,4000,1750,"12,9",176,"3,7",Belirtilmemiş
311,545000,Opel,Corsa,1.3 CDTI Silverline,2006,110000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,170,1248,70,,,16,165,"4,4",Tamamı orjinal
312,385000,Renault,Symbol,1.4 Dynamique,2007,130000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,127,1390,98,6000,3750,"11,2",186,"7,3","1 değişen, 3 boyalı"
313,610000,Honda,Civic,1.6 i-VTEC Premium,2007,166000,Otomatik,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,152,1595,125,6500,4200,"10,3",192,"6,7","3 değişen, 9 boyalı"
314,730000,Opel,Astra,1.6 Edition Plus,2016,114000,Düz,LPG & Benzin,Sedan,-,Sahibinden,Önden Çekiş,4,155,1598,115,6000,4000,"11,9",193,"6,5",6 boyalı
315,655000,MINI,Cooper,1.6 D,2012,215000,Düz,Dizel,Hatchback/3,Garantisi Yok,Galeriden,Önden Çekiş,4,270,1598,112,4000,1750,"9,7",197,"3,8",Belirtilmemiş
316,482500,Renault,Clio,1.5 dCi SportTourer Joy,2015,183000,Düz,Dizel,Station wagon,Garantisi Yok,Galeriden,Önden Çekiş,4,180,1461,75,4000,1750,15,165,4,Belirtilmemiş
317,625000,Hyundai,i30,1.6 CRDi Elite,2013,229000,Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,260,1582,128,4000,1900,"11,7",190,"5,5",Belirtilmemiş
318,171000,Fiat,Uno,1.4 ie SX,1998,269000,Düz,LPG & Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,,,1401 - 1600 cm3,76 - 100 HP,,,,,,Belirtilmemiş
319,1495000,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2017,150000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1598,120,4000,1750,"10,8",206,4,Tamamı orjinal
320,435000,Renault,Symbol,1.5 dCi Authentique,2009,185000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,160,1461,65,3750,1900,"16,5",160,"4,5",Belirtilmemiş
321,865000,Volkswagen,Jetta,1.6 TDi Comfortline,2013,122000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1598,105,4400,2500,"11,7",190,"4,7",Belirtilmemiş
322,779000,Renault,Fluence,1.5 dCi Icon,2015,172000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,240,1461,110,4000,2000,"11,5",185,"4,4",Belirtilmemiş
323,415000,Opel,Astra,1.4 Classic,2004,278000,Düz,Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,103,1389,60,,,16,160,"7,7",5 boyalı
324,545000,Fiat,Linea,1.3 Multijet Pop,2017,193000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,200,1248,95,4000,1500,"13,8",170,"4,9",Belirtilmemiş
325,1289500,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2019,37734,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1598,115,4000,1500,"10,5",198,"4,2",Belirtilmemiş
326,737500,Toyota,Yaris,1.33 Cool,2013,64000,Otomatik,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,125,1329,99,6000,4000,"11,7",175,5,Belirtilmemiş
327,602000,Peugeot,301,1.6 HDi Allure,2016,128000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,230,1560,93,3500,1750,"11,2",180,"4,3",Tamamı orjinal
328,560000,Fiat,Linea,1.4 Fire Pop,2017,98000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,115,1368,77,6000,3000,"14,6",165,"6,3",Tamamı orjinal
329,7100000,BMW,7 Serisi,730i Long M Excellence,2020,105000,Otomatik,Benzin,Sedan,Garantisi Var,Galeriden,Arkadan İtiş,4,400,1998,265,6500,1550,"6,3",250,"7,1",Belirtilmemiş
330,11500000,Lamborghini,Gallardo,LP 560-4,2013,67000,Otomatik,Benzin,Coupe,Garantisi Var,Galeriden,Arkadan İtiş,,,5001 - 5500 cm3,551 - 575 HP,,,,,,Belirtilmemiş
331,5500000,BMW,M Serisi,M4,2016,65000,Otomatik,Benzin,Cabrio,Garantisi Var,Galeriden,Arkadan İtiş,6,550,2979,431,5500,1850,44,250,"8,7",Belirtilmemiş
332,460000,Chrysler,300 M,3.5,1999,291000,Otomatik,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,6,340,3518,252,6450,3950,"8,8",230,"11,6",Belirtilmemiş
333,719750,Opel,Astra,1.6 CDTI Design,2017,205000,Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,320,1598,136,3500,2000,"11,6",200,"5,1",Belirtilmemiş
334,779750,Ford,Focus,1.5 TDCi Trend X,2017,152000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,300,1499,120,3600,1750,"10,9",193,"4,2",Belirtilmemiş
335,650000,Fiat,Egea,1.3 Multijet Easy,2016,220000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,200,1248,95,3750,1500,"11,7",183,"4,1",Tamamı orjinal
336,600000,Citroen,C4,1.4 VTi Attraction,2011,125000,Düz,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,135,1397,96,6000,4000,"11,9",182,"6,1",Belirtilmemiş
337,212500,Dacia,Solenza,1.4 Rapsodie,2005,318000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,114,1390,75,5500,3000,14,,"6,7",Belirtilmemiş
338,665000,Ford,Focus,1.6 TDCi Trend X,2014,235000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,230,1560,95,3600,1500,"12,6",182,"4,5",Belirtilmemiş
339,825000,Honda,Civic,1.6 i-DTEC Sport,2015,189000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,300,1597,120,4000,2000,"10,5",207,"3,7",Belirtilmemiş
340,1680000,Audi,A5,A5 Sportback 2.0 TDI,2015,265000,Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,400,1968,190,3800,1750,"7,9",230,"4,5",Tamamı orjinal
341,690000,Volkswagen,Jetta,1.6 TDi Highline,2011,310000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1598,105,4400,2500,"11,7",190,"4,7",Belirtilmemiş
342,1650000,Audi,A5,A5 Sportback 2.0 TDI Quattro,2015,240000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,4WD (Sürekli),4,400,1968,190,3800,1750,"8,5",235,"5,1",Tamamı orjinal
343,439750,Renault,Megane,1.6 Exception,2007,238000,Düz,LPG & Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,151,1598,110,6000,4250,"10,9",192,"6,8","1 değişen, 7 boyalı"
344,599750,Peugeot,301,1.6 HDi Active,2017,179000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,230,1560,93,3500,1750,"11,2",180,"4,3",Tamamı orjinal
345,548500,Opel,Astra,1.3 CDTI Essentia Konfor,2010,275000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,200,1248,90,2500,1750,"15,2",171,5,Tamamı orjinal
346,538500,Opel,Astra,1.3 CDTI Essentia Konfor,2011,231000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,200,1248,90,2500,1750,"13,7",172,"4,9","1 değişen, 4 boyalı"
347,1000000,Volkswagen,Golf,1.4 TSi Highline,2016,90000,Yarı Otomatik,Benzin,Hatchback/5,Garantisi Var,Galeriden,Önden Çekiş,4,200,1395,125,5000,1400,"9,1",204,5,"2 değişen, 4 boyalı"
348,483500,Opel,Astra,1.3 CDTI Enjoy 111.Yıl,"Yıl
2011",249000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,200,1248,90,4000,2500,"13,7",172,"5,1",10 boyalı
349,940000,Renault,Clio,1.0 TCe Touch,2023,6013,Otomatik,Benzin,Hatchback/5,Garantisi Var,Galeriden,Önden Çekiş,3,140,999,90,5500,2250,12,178,5,Tamamı orjinal
350,890000,Renault,Megane,1.5 Blue DCI Touch,2020,96500,Yarı Otomatik,Dizel,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,260,1461,115,3750,2000,"10,8",197,"4,2",Belirtilmemiş
351,589000,Toyota,Corolla,1.4 D-4D Comfort Extra,2011,203000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,205,1364,90,3800,1800,"14,8",175,"4,8",Belirtilmemiş
352,245000,Renault,R 19,1.4 Europa RN,1997,162000,Düz,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,100,1397,55,,,,,,1 değişen
353,635000,Volkswagen,Polo,1.2 TDi Trendline,2013,219000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,3,180,1199,75,4200,2000,"13,9",170,"3,8","1 değişen, 8 boyalı"
354,395000,Nissan,Micra,1.2 Tekna,2004,239000,Düz,LPG & Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,110,1240,80,5200,3600,"13,5",167,"5,9",8 boyalı
355,635900,Ford,Focus,1.6 TDCi Trend,2012,263000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,230,1560,95,3600,2000,"12,5",180,"4,2",Belirtilmemiş
356,720000,Fiat,Egea,1.4 Fire Easy,2022,34500,Düz,Benzin,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,127,1368,95,6000,4500,"11,8",186,"6,4",Tamamı orjinal
357,288000,Seat,Cordoba,1.4 TDI Basic,2004,296000,Düz,Dizel,Sedan,Garantisi Var,Galeriden,Önden Çekiş,3,195,1422,75,,,"14,2",174,"4,5",Belirtilmemiş
358,325000,Renault,Clio,1.5 dCi Extreme,2008,278000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,160,1461,65,4000,2000,15,163,5,"1 değişen, 6 boyalı"
359,1295000,Mercedes - Benz,CLA,200 AMG,2013,97000,Otomatik,Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1595,156,5300,4000,"8,6",230,"5,1",1 değişen
360,590000,Fiat,Linea,1.4 Fire Active Plus,2014,53000,Düz,Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,115,1368,77,6000,3000,"14,6",165,"6,3",Tamamı orjinal
361,1350000,Audi,A3,A3 Sedan 1.6 TDI Sport Line,2017,73600,Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1598,110,3200,1500,"10,7",203,"3,7","1 değişen, 2 boyalı"
362,969000,Seat,Leon,1.2 TSI Style,2013,133000,Yarı Otomatik,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,175,1197,105,5500,4000,10,191,"4,8",Belirtilmemiş
363,1475000,BMW,3 Serisi,320i ED M Plus,2016,128500,Otomatik,Benzin,Sedan,Garantisi Yok,Galeriden,Arkadan İtiş,4,250,1598,170,4800,1500,"7,6",230,"5,3",Belirtilmemiş
364,988500,Renault,Megane,1.5 dCi Touch Plus,2018,57000,Yarı Otomatik,Dizel,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,250,1461,110,4000,1750,"12,5",190,"3,8","1 değişen, 1 boyalı"
365,1475000,BMW,3 Serisi,320d M Sport,2011,245900,Otomatik,Dizel,Cabrio,Garantisi Yok,Galeriden,Arkadan İtiş,4,380,1995,184,4000,2750,"7,6",233,"5,3",10 boyalı
366,799000,Fiat,Egea,1.6 Multijet Urban,2018,90000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,320,1598,120,3750,1750,"9,8",200,"3,9",Belirtilmemiş
367,365000,Mitsubishi,Colt,1.5 Instyle,2005,225000,Yarı Otomatik,LPG & Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,145,1499,109,,,"9,8",190,"6,2",Belirtilmemiş
368,579000,Hyundai,Getz,1.4 DOHC AB AC,2011,59800,Otomatik,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,125,1399,97,6000,3200,"13,9",167,"6,7","1 değişen, 3 boyalı"
369,935000,Mercedes - Benz,B,B 180 BlueEFFICIENCY Sport,2013,152000,Yarı Otomatik,Benzin,MPV,Garantisi Yok,Galeriden,Önden Çekiş,4,200,1595,122,5000,4000,"10,4",190,"5,9","1 değişen, 4 boyalı"
370,695000,Fiat,Egea,1.4 Fire Urban Plus,2020,46000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,127,1368,95,6000,4500,"11,5",185,"5,7",Tamamı orjinal
371,725000,Fiat,Egea,1.6 Multijet Urban,2017,98000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,320,1598,120,3750,1750,"9,7",199,"4,2",Tamamı orjinal
372,989950,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2014,235000,Yarı Otomatik,Dizel,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,250,1598,105,4400,2500,"12,2",193,"4,7",Belirtilmemiş
373,1449950,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2020,140000,Yarı Otomatik,Dizel,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,250,1598,120,4000,1500,"10,8",206,4,Tamamı orjinal
374,1249950,Honda,Civic,1.6 i-DTEC Elegance,2019,40000,Otomatik,Dizel,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,300,1597,120,4000,2000,"10,7",200,"4,1",Belirtilmemiş
375,435000,Renault,Megane,1.6 Dynamique,2005,241000,Düz,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,152,1598,115,,,"10,9",192,"6,8",Tamamı orjinal
376,735000,Fiat,Egea,1.4 Fire Street,2020,21000,Düz,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,127,1368,95,6000,4500,"12,1",185,"5,7",Tamamı orjinal
377,1299750,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2018,90000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1598,120,4000,1500,"10,8",206,4,Belirtilmemiş
378,865000,Volkswagen,Jetta,1.6 TDi Highline,2013,225000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1598,105,4400,2500,"11,7",190,"4,7","3 değişen, 2 boyalı"
379,970000,Renault,Megane,1.5 dCi Icon,2018,170000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1461,110,4000,1750,"12,5",190,"3,8",Tamamı orjinal
380,685000,Opel,Corsa,1.4 Twinport Active,2013,97000,Otomatik,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,130,1364,100,6000,4000,"13,9",172,"5,7",Belirtilmemiş
381,665000,Dacia,Sandero,1.5 dCi Stepway,2016,173000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,220,1461,90,4000,1750,"11,8",167,4,1 değişen
382,970000,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2014,251000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1598,105,4400,2500,"12,2",193,"4,7","1 değişen, 3 boyalı"
383,575000,Ford,Focus,1.6 Titanium,2010,175000,Otomatik,LPG & Benzin,Sedan,,Sahibinden,Önden Çekiş,4,150,1596,100,6000,4000,"14,2",182,"6,7","1 değişen, 10 boyalı"
384,1119000,Audi,A4,A4 Sedan 2.0 TDI,2014,160000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,320,1968,126 - 150 HP,4200,2500,"9,4",210,"5,8","1 değişen, 2 boyalı"
385,730000,Renault,Clio,1.5 dCi Icon,2015,159000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,220,1461,90,4000,1750,"12,9",176,"3,7",Belirtilmemiş
386,885000,Toyota,Corolla,1.6 Advance,2018,98000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,160,1598,132,6400,4400,10,200,"6,3",Belirtilmemiş
387,485000,Citroen,C4,1.4 SX,2009,186000,Düz,Benzin,Hatchback/5,Garantisi Yok,Sahibinden,Önden Çekiş,4,133,1360,91,5250,3250,"12,8",182,"6,4",Tamamı orjinal
388,645000,Renault,Clio,1.5 dCi SportTourer Joy,2017,131500,Düz,Dizel,Station wagon,Garantisi Yok,Galeriden,Önden Çekiş,4,200,1461,75,4000,1750,"14,3",168,"3,6",Belirtilmemiş
389,"3540000 
                                        


                                3420000",BMW,7 Serisi,730i Long Executive Lounge,2015,329000,Otomatik,Benzin,Sedan,Garantisi Yok,Galeriden,Arkadan İtiş,4,400,1998,258,6500,1550,"6,3",250,"5,8",Belirtilmemiş
390,605000,Renault,Clio,1.5 dCi Touch,2013,189000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,200,1461,75,,,"14,3",168,"3,6",Belirtilmemiş
391,715000,Ford,Focus,1.6 TDCi Titanium X,2013,260000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,270,1560,115,3600,2500,"10,9",193,"4,2","1 değişen, 4 boyalı"
392,770000,Ford,C-Max,1.6 TDCi Titanium X,2012,167000,Düz,Dizel,MPV,Garantisi Yok,Galeriden,Önden Çekiş,4,270,1560,115,3600,2500,"11,3",184,"4,6",Tamamı orjinal
393,342000,Ford,Fiesta,1.4 TDCi Comfort,2005,271000,Düz,Dizel,Hatchback/5,Garantisi Var,Galeriden,Önden Çekiş,4,160,1399,68,4000,2000,"14,9",164,"4,3",3 boyalı
394,1125000,Volkswagen,New Beetle,1.2 TSi Design,2016,78000,Yarı Otomatik,Benzin,Hatchback/3,Garantisi Yok,Galeriden,Önden Çekiş,4,175,1197,105,5500,1400,"10,9",180,"5,2",2 boyalı
395,850000,Seat,Leon,1.2 TSI Style,2016,97000,Düz,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,175,1197,105,5500,4000,10,191,"4,9",Tamamı orjinal
396,590000,Peugeot,301,1.6 HDi Active,2017,189000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,230,1560,93,4000,1750,"11,2",180,"4,3",1 boyalı
397,1355000,Ford,Focus,1.5 TDCi Titanium,2019,35000,Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,300,1500,120,,,"10,2",196,"4,3",Tamamı orjinal
398,795000,Opel,Astra,1.6 Edition Plus,2016,77000,Düz,Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,155,1598,115,6000,4000,"11,9",193,"6,5",Tamamı orjinal
399,1120000,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2017,142000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Var,Galeriden,Önden Çekiş,4,250,1598,115,4000,1500,"10,5",198,"4,2",Belirtilmemiş
400,1250000,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2016,95000,Düz,Dizel,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,250,1598,120,4000,1750,"10,8",206,4,Belirtilmemiş
401,275000,Renault,Clio,1.4 RN,2001,301000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,114,1390,75,5500,4250,"12,1",170,"7,1",Belirtilmemiş
402,486000,Volkswagen,Polo,1.4 Comfortline,2004,173000,Otomatik,LPG & Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,126,1390,75,,,"15,3",168,"7,4",5 boyalı
403,949900,Honda,City,1.5 i-VTEC Executive,2021,23900,Otomatik,Benzin,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,145,1498,121,6600,4300,"10,5",198,"6,2",Belirtilmemiş
404,510000,Opel,Corsa,1.3 CDTI Enjoy,2012,188000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,190,1248,75,4000,1750,"14,9",163,4,Belirtilmemiş
405,950000,Ford,Focus,1.6 TDCi Trend X,2017,79200,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,230,1560,95,3600,1500,"12,6",182,"4,5",Tamamı orjinal
406,410000,Renault,Megane,1.4 Authentique,2004,275000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,127,1390,98,,,"12,7",185,"6,7",6 boyalı
407,685000,Opel,Astra,1.3 CDTI Sport,2012,145000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,190,1248,95,4000,1750,"14,5",175,"4,1","1 değişen, 4 boyalı"
408,145000,Renault,R 12,Toros,1994,285888,Düz,LPG & Benzin,Station wagon,Garantisi Yok,Galeriden,Önden Çekiş,4,,1397,72,5100,3000,,,,Belirtilmemiş
409,510000,Chevrolet,Cruze,1.6 LS Plus,2010,215000,Otomatik,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,153,1598,113,6400,1400,"13,5",180,"7,8","2 değişen, 4 boyalı"
410,318000,Opel,Astra,1.6 GLS,1998,220000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,135,1598,100,,,11,190,,Belirtilmemiş
411,530000,Renault,Fluence,1.5 dCi Dynamique,2010,314000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,240,1461,105,4000,2000,"11,4",186,"4,5",Belirtilmemiş
412,475000,Honda,Civic,1.6 i-VTEC LS,2002,281500,Otomatik,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,152,1590,110,6300,4800,"11,3",192,7,Belirtilmemiş
413,715000,Renault,Fluence,1.5 dCi Icon,2015,108000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,240,1461,110,4000,1750,11,185,"4,6","1 değişen, 2 boyalı"
414,678000,Fiat,Egea,1.3 Multijet Urban,2016,122000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,200,1248,95,3750,1500,"11,7",183,"4,1",Tamamı orjinal
415,599500,Renault,Clio,0.9 TCe Joy,2019,86000,Düz,Benzin,Hatchback/5,Garantisi Var,Galeriden,Önden Çekiş,3,140,898,90,5000,2500,"12,9",178,5,7 boyalı
416,1200000,BMW,1 Serisi,120i M Plus,2015,130005,Otomatik,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Arkadan İtiş,4,250,1598,177,4800,1500,"7,2",222,"5,7",3 boyalı
417,599950,Renault,Clio,0.9 TCe Joy,2019,86500,Düz,Benzin,Hatchback/5,Garantisi Var,Galeriden,Önden Çekiş,3,140,898,90,5000,2500,"12,9",178,5,7 boyalı
418,879000,Hyundai,i20,1.0 T-GDI Style,2021,23000,Yarı Otomatik,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,3,172,998,100,6000,1500,"11,4",185,"5,2",Belirtilmemiş
419,1520000,Skoda,SuperB,1.6 TDI Style,2017,57000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1598,120,3500,1500,11,206,"4,1",Tamamı orjinal
420,609500,Renault,Clio,0.9 TCe Joy,2019,85500,Düz,Benzin,Hatchback/5,Garantisi Var,Galeriden,Önden Çekiş,3,140,898,90,5000,2500,"12,9",178,5,5 boyalı
421,495000,Opel,Corsa,1.2 Twinport Essentia,2011,132000,Düz,LPG & Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,115,1229,85,5600,4000,"13,6",172,"5,3",1 değişen
422,154750,Renault,R 9,1.4 Spring,1993,265000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,,1390,72,5750,5250,,160,,Belirtilmemiş
423,390000,BMW,3 Serisi,320i,1998,335000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Arkadan İtiş,6,190,1991,150,,,"9,9",219,"8,9",Tamamı boyalı
424,400000,Renault,Clio,1.4 Authentique,2007,65000,Düz,Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,127,1390,98,6000,3750,"11,2",186,"7,3","1 değişen, 2 boyalı"
425,700750,Dacia,Sandero,1.5 BlueDCI Stepway,2019,97700,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,220,1461,95,4000,1750,"11,8",179,"3,6",Belirtilmemiş
426,629750,Renault,Fluence,1.5 dCi Icon,2016,209000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,240,1461,110,4000,1750,11,185,"4,6",1 boyalı
427,459750,Hyundai,i20,1.4 CRDi Jump,2014,185000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,220,1396,90,4000,1750,"13,5",174,"4,3","2 değişen, 8 boyalı"
